"Data","Descrição","Valor",""
"31/10/2018 14:08:14","Bônus Mineração - Contrato de mineração #199570 - 4.700 CMP - 2018-10-31","8.507",""
"31/10/2018 14:06:44","Bônus Mineração - Contrato de mineração #197274 - 6.300 CMP - 2018-10-31","11.403",""
"31/10/2018 14:06:28","Bônus Mineração - Contrato de mineração #196861 - 0.300 CMP - 2018-10-31","0.543",""
"31/10/2018 14:05:12","Bônus Mineração - Contrato de mineração #195041 - 1.500 CMP - 2018-10-31","2.715",""
"31/10/2018 13:56:00","Bônus Mineração - Contrato de mineração #181659 - 0.100 CMP - 2018-10-31","0.181",""
"31/10/2018 13:48:54","Bônus Mineração - Contrato de mineração #174017 - 0.400 CMP - 2018-10-31","0.724",""
"31/10/2018 13:48:52","Bônus Mineração - Contrato de mineração #173977 - 0.300 CMP - 2018-10-31","0.543",""
"31/10/2018 13:46:45","Bônus Mineração - Contrato de mineração #170476 - 0.300 CMP - 2018-10-31","0.543",""
"31/10/2018 13:46:43","Bônus Mineração - Contrato de mineração #170446 - 0.500 CMP - 2018-10-31","0.905",""
"31/10/2018 11:37:44","Bônus Mineração - Contrato de mineração #94150 - 1.200 CMP - 2018-10-31","2.184",""
"30/10/2018 20:49:40","Bônus Mineração - Contrato de mineração #199570 - 4.700 CMP - 2018-10-30","8.554",""
"30/10/2018 20:48:06","Bônus Mineração - Contrato de mineração #197274 - 6.300 CMP - 2018-10-30","11.466",""
"30/10/2018 20:47:34","Bônus Mineração - Contrato de mineração #196861 - 0.300 CMP - 2018-10-30","0.546",""
"30/10/2018 20:46:27","Bônus Mineração - Contrato de mineração #195041 - 1.500 CMP - 2018-10-30","2.73",""
"30/10/2018 20:37:49","Bônus Mineração - Contrato de mineração #181659 - 0.100 CMP - 2018-10-30","0.182",""
"30/10/2018 20:33:18","Bônus Mineração - Contrato de mineração #174017 - 0.400 CMP - 2018-10-30","0.728",""
"30/10/2018 20:33:17","Bônus Mineração - Contrato de mineração #173977 - 0.300 CMP - 2018-10-30","0.546",""
"30/10/2018 20:31:15","Bônus Mineração - Contrato de mineração #170476 - 0.300 CMP - 2018-10-30","0.546",""
"30/10/2018 20:31:14","Bônus Mineração - Contrato de mineração #170446 - 0.500 CMP - 2018-10-30","0.91",""
"30/10/2018 15:22:45","Bônus Mineração - Contrato de mineração #94150 - 1.200 CMP - 2018-10-30","2.196",""
"30/10/2018 00:58:27","Bônus Mineração - Contrato de mineração #199570 - 4.700 CMP - 2018-10-30","8.507",""
"30/10/2018 00:57:00","Bônus Mineração - Contrato de mineração #197274 - 6.300 CMP - 2018-10-30","11.403",""
"30/10/2018 00:56:40","Bônus Mineração - Contrato de mineração #196861 - 0.300 CMP - 2018-10-30","0.543",""
"30/10/2018 00:55:32","Bônus Mineração - Contrato de mineração #195041 - 1.500 CMP - 2018-10-30","2.715",""
"30/10/2018 00:46:07","Bônus Mineração - Contrato de mineração #181659 - 0.100 CMP - 2018-10-30","0.181",""
"30/10/2018 00:41:07","Bônus Mineração - Contrato de mineração #174017 - 0.400 CMP - 2018-10-30","0.724",""
"30/10/2018 00:41:06","Bônus Mineração - Contrato de mineração #173977 - 0.300 CMP - 2018-10-30","0.543",""
"30/10/2018 00:39:02","Bônus Mineração - Contrato de mineração #170476 - 0.300 CMP - 2018-10-30","0.543",""
"30/10/2018 00:39:01","Bônus Mineração - Contrato de mineração #170446 - 0.500 CMP - 2018-10-30","0.905",""
"30/10/2018 00:18:22","Bônus Mineração - Contrato de mineração #170075 - 1.500 CMP - 2018-10-30","2.685",""
"30/10/2018 00:12:09","Bônus Mineração - Contrato de mineração #161823 - 0.700 CMP - 2018-10-30","1.253",""
"30/10/2018 00:12:08","Bônus Mineração - Contrato de mineração #161814 - 0.200 CMP - 2018-10-30","0.358",""
"30/10/2018 00:12:08","Bônus Mineração - Contrato de mineração #161811 - 0.200 CMP - 2018-10-30","0.358",""
"30/10/2018 00:12:08","Bônus Mineração - Contrato de mineração #161808 - 0.200 CMP - 2018-10-30","0.358",""
"30/10/2018 00:12:07","Bônus Mineração - Contrato de mineração #161796 - 0.300 CMP - 2018-10-30","0.537",""
"29/10/2018 23:29:25","Bônus Mineração - Contrato de mineração #94150 - 1.200 CMP - 2018-10-29","2.172",""
"29/10/2018 04:55:52","Bônus Mineração - Contrato de mineração #170075 - 1.500 CMP - 2018-10-29","2.76",""
"29/10/2018 04:50:10","Bônus Mineração - Contrato de mineração #161823 - 0.700 CMP - 2018-10-29","1.288",""
"29/10/2018 04:50:10","Bônus Mineração - Contrato de mineração #161814 - 0.200 CMP - 2018-10-29","0.368",""
"29/10/2018 04:50:10","Bônus Mineração - Contrato de mineração #161811 - 0.200 CMP - 2018-10-29","0.368",""
"29/10/2018 04:50:10","Bônus Mineração - Contrato de mineração #161808 - 0.200 CMP - 2018-10-29","0.368",""
"29/10/2018 04:50:09","Bônus Mineração - Contrato de mineração #161796 - 0.300 CMP - 2018-10-29","0.552",""
"29/10/2018 02:20:30","Bônus Mineração - Contrato de mineração #199570 - 4.700 CMP - 2018-10-29","8.742000000000001",""
"29/10/2018 02:19:02","Bônus Mineração - Contrato de mineração #197274 - 6.300 CMP - 2018-10-29","11.718",""
"29/10/2018 02:18:47","Bônus Mineração - Contrato de mineração #196861 - 0.300 CMP - 2018-10-29","0.5580000000000001",""
"29/10/2018 02:17:22","Bônus Mineração - Contrato de mineração #195041 - 1.500 CMP - 2018-10-29","2.79",""
"29/10/2018 02:07:52","Bônus Mineração - Contrato de mineração #181659 - 0.100 CMP - 2018-10-29","0.186",""
"29/10/2018 01:58:41","Bônus Mineração - Contrato de mineração #174017 - 0.400 CMP - 2018-10-29","0.744",""
"29/10/2018 01:58:40","Bônus Mineração - Contrato de mineração #173977 - 0.300 CMP - 2018-10-29","0.5580000000000001",""
"29/10/2018 01:55:41","Bônus Mineração - Contrato de mineração #170476 - 0.300 CMP - 2018-10-29","0.5580000000000001",""
"29/10/2018 01:55:40","Bônus Mineração - Contrato de mineração #170446 - 0.500 CMP - 2018-10-29","0.93",""
"28/10/2018 19:18:52","Bônus Mineração - Contrato de mineração #94150 - 1.200 CMP - 2018-10-28","2.148",""
"28/10/2018 02:23:35","Bônus Mineração - Contrato de mineração #199570 - 4.700 CMP - 2018-10-28","8.695",""
"28/10/2018 02:22:15","Bônus Mineração - Contrato de mineração #197274 - 6.300 CMP - 2018-10-28","11.655",""
"28/10/2018 02:22:00","Bônus Mineração - Contrato de mineração #196861 - 0.300 CMP - 2018-10-28","0.555",""
"28/10/2018 02:20:52","Bônus Mineração - Contrato de mineração #195041 - 1.500 CMP - 2018-10-28","2.775",""
"28/10/2018 02:11:53","Bônus Mineração - Contrato de mineração #181659 - 0.100 CMP - 2018-10-28","0.185",""
"28/10/2018 02:06:00","Bônus Mineração - Contrato de mineração #174017 - 0.400 CMP - 2018-10-28","0.74",""
"28/10/2018 02:05:57","Bônus Mineração - Contrato de mineração #173977 - 0.300 CMP - 2018-10-28","0.555",""
"28/10/2018 02:02:34","Bônus Mineração - Contrato de mineração #170476 - 0.300 CMP - 2018-10-28","0.555",""
"28/10/2018 02:02:32","Bônus Mineração - Contrato de mineração #170446 - 0.500 CMP - 2018-10-28","0.925",""
"27/10/2018 23:26:15","Bônus Mineração - Contrato de mineração #170075 - 1.500 CMP - 2018-10-27","2.745",""
"27/10/2018 23:20:29","Bônus Mineração - Contrato de mineração #161823 - 0.700 CMP - 2018-10-27","1.281",""
"27/10/2018 23:20:29","Bônus Mineração - Contrato de mineração #161814 - 0.200 CMP - 2018-10-27","0.366",""
"27/10/2018 23:20:28","Bônus Mineração - Contrato de mineração #161811 - 0.200 CMP - 2018-10-27","0.366",""
"27/10/2018 23:20:28","Bônus Mineração - Contrato de mineração #161808 - 0.200 CMP - 2018-10-27","0.366",""
"27/10/2018 23:20:28","Bônus Mineração - Contrato de mineração #161796 - 0.300 CMP - 2018-10-27","0.549",""
"27/10/2018 19:04:16","Bônus Mineração - Contrato de mineração #94150 - 1.200 CMP - 2018-10-27","2.172",""
"26/10/2018 13:31:18","Bônus Mineração - Contrato de mineração #199570 - 4.700 CMP - 2018-10-26","8.648",""
"26/10/2018 13:29:10","Bônus Mineração - Contrato de mineração #197274 - 6.300 CMP - 2018-10-26","11.592",""
"26/10/2018 13:28:55","Bônus Mineração - Contrato de mineração #196861 - 0.300 CMP - 2018-10-26","0.552",""
"26/10/2018 13:27:43","Bônus Mineração - Contrato de mineração #195041 - 1.500 CMP - 2018-10-26","2.76",""
"26/10/2018 13:19:13","Bônus Mineração - Contrato de mineração #181659 - 0.100 CMP - 2018-10-26","0.184",""
"26/10/2018 13:14:13","Bônus Mineração - Contrato de mineração #174017 - 0.400 CMP - 2018-10-26","0.736",""
"26/10/2018 13:14:12","Bônus Mineração - Contrato de mineração #173977 - 0.300 CMP - 2018-10-26","0.552",""
"26/10/2018 13:11:54","Bônus Mineração - Contrato de mineração #170476 - 0.300 CMP - 2018-10-26","0.552",""
"26/10/2018 13:11:53","Bônus Mineração - Contrato de mineração #170446 - 0.500 CMP - 2018-10-26","0.92",""
"26/10/2018 13:00:08","Bônus Mineração - Contrato de mineração #170075 - 1.500 CMP - 2018-10-26","2.715",""
"26/10/2018 12:54:30","Bônus Mineração - Contrato de mineração #161823 - 0.700 CMP - 2018-10-26","1.267",""
"26/10/2018 12:54:30","Bônus Mineração - Contrato de mineração #161814 - 0.200 CMP - 2018-10-26","0.362",""
"26/10/2018 12:54:30","Bônus Mineração - Contrato de mineração #161811 - 0.200 CMP - 2018-10-26","0.362",""
"26/10/2018 12:54:29","Bônus Mineração - Contrato de mineração #161808 - 0.200 CMP - 2018-10-26","0.362",""
"26/10/2018 12:54:29","Bônus Mineração - Contrato de mineração #161796 - 0.300 CMP - 2018-10-26","0.543",""
"26/10/2018 11:12:58","Bônus Mineração - Contrato de mineração #94150 - 1.200 CMP - 2018-10-26","2.148",""
"25/10/2018 22:24:32","Bônus Mineração - Contrato de mineração #199570 - 4.700 CMP - 2018-10-25","8.789",""
"25/10/2018 22:23:09","Bônus Mineração - Contrato de mineração #197274 - 6.300 CMP - 2018-10-25","11.781",""
"25/10/2018 22:22:51","Bônus Mineração - Contrato de mineração #196861 - 0.300 CMP - 2018-10-25","0.5610000000000001",""
"25/10/2018 22:21:42","Bônus Mineração - Contrato de mineração #195041 - 1.500 CMP - 2018-10-25","2.805",""
"25/10/2018 22:13:19","Bônus Mineração - Contrato de mineração #181659 - 0.100 CMP - 2018-10-25","0.187",""
"25/10/2018 22:08:32","Bônus Mineração - Contrato de mineração #174017 - 0.400 CMP - 2018-10-25","0.748",""
"25/10/2018 22:08:31","Bônus Mineração - Contrato de mineração #173977 - 0.300 CMP - 2018-10-25","0.5610000000000001",""
"25/10/2018 22:06:22","Bônus Mineração - Contrato de mineração #170476 - 0.300 CMP - 2018-10-25","0.5610000000000001",""
"25/10/2018 22:06:20","Bônus Mineração - Contrato de mineração #170446 - 0.500 CMP - 2018-10-25","0.9350000000000001",""
"25/10/2018 15:34:15","Bônus Mineração - Contrato de mineração #170075 - 1.500 CMP - 2018-10-25","2.775",""
"25/10/2018 15:28:22","Bônus Mineração - Contrato de mineração #161823 - 0.700 CMP - 2018-10-25","1.295",""
"25/10/2018 15:28:21","Bônus Mineração - Contrato de mineração #161814 - 0.200 CMP - 2018-10-25","0.37",""
"25/10/2018 15:28:21","Bônus Mineração - Contrato de mineração #161811 - 0.200 CMP - 2018-10-25","0.37",""
"25/10/2018 15:28:21","Bônus Mineração - Contrato de mineração #161808 - 0.200 CMP - 2018-10-25","0.37",""
"25/10/2018 15:28:21","Bônus Mineração - Contrato de mineração #161796 - 0.300 CMP - 2018-10-25","0.555",""
"25/10/2018 14:21:43","Bônus Mineração - Contrato de mineração #94150 - 1.200 CMP - 2018-10-25","2.172",""
"25/10/2018 00:16:56","Bônus Mineração - Contrato de mineração #170075 - 1.500 CMP - 2018-10-25","2.775",""
"25/10/2018 00:10:39","Bônus Mineração - Contrato de mineração #161823 - 0.700 CMP - 2018-10-25","1.295",""
"25/10/2018 00:10:38","Bônus Mineração - Contrato de mineração #161814 - 0.200 CMP - 2018-10-25","0.37",""
"25/10/2018 00:10:38","Bônus Mineração - Contrato de mineração #161811 - 0.200 CMP - 2018-10-25","0.37",""
"25/10/2018 00:10:38","Bônus Mineração - Contrato de mineração #161808 - 0.200 CMP - 2018-10-25","0.37",""
"25/10/2018 00:10:38","Bônus Mineração - Contrato de mineração #161796 - 0.300 CMP - 2018-10-25","0.555",""
"24/10/2018 23:05:18","Bônus Mineração - Contrato de mineração #94150 - 1.200 CMP - 2018-10-24","2.184",""
"24/10/2018 22:10:38","Bônus Mineração - Contrato de mineração #199570 - 4.700 CMP - 2018-10-24","8.742000000000001",""
"24/10/2018 22:09:00","Bônus Mineração - Contrato de mineração #197274 - 6.300 CMP - 2018-10-24","11.718",""
"24/10/2018 22:08:42","Bônus Mineração - Contrato de mineração #196861 - 0.300 CMP - 2018-10-24","0.5580000000000001",""
"24/10/2018 22:07:05","Bônus Mineração - Contrato de mineração #195041 - 1.500 CMP - 2018-10-24","2.79",""
"24/10/2018 21:57:53","Bônus Mineração - Contrato de mineração #181659 - 0.100 CMP - 2018-10-24","0.186",""
"24/10/2018 21:52:36","Bônus Mineração - Contrato de mineração #174017 - 0.400 CMP - 2018-10-24","0.744",""
"24/10/2018 21:52:35","Bônus Mineração - Contrato de mineração #173977 - 0.300 CMP - 2018-10-24","0.5580000000000001",""
"24/10/2018 21:50:29","Bônus Mineração - Contrato de mineração #170476 - 0.300 CMP - 2018-10-24","0.5580000000000001",""
"24/10/2018 21:50:28","Bônus Mineração - Contrato de mineração #170446 - 0.500 CMP - 2018-10-24","0.93",""
"24/10/2018 14:53:43","Bônus Residual 2018-10-17 - 2018-10-23 - AlcidesJrd Contrato 156698 TH/s 0.300 level 2","0.04788",""
"24/10/2018 14:53:42","Bônus Residual 2018-10-17 - 2018-10-23 - AlcidesJre Contrato 156688 TH/s 0.300 level 2","0.04788",""
"24/10/2018 14:53:41","Bônus Residual 2018-10-17 - 2018-10-23 - AlcidesJr Contrato 156673 TH/s 0.100 level 1","0.01596",""
"23/10/2018 19:11:37","Bônus Mineração - Contrato de mineração #170075 - 1.500 CMP - 2018-10-23","2.745",""
"23/10/2018 19:03:59","Bônus Mineração - Contrato de mineração #161823 - 0.700 CMP - 2018-10-23","1.281",""
"23/10/2018 19:03:58","Bônus Mineração - Contrato de mineração #161814 - 0.200 CMP - 2018-10-23","0.366",""
"23/10/2018 19:03:58","Bônus Mineração - Contrato de mineração #161811 - 0.200 CMP - 2018-10-23","0.366",""
"23/10/2018 19:03:58","Bônus Mineração - Contrato de mineração #161808 - 0.200 CMP - 2018-10-23","0.366",""
"23/10/2018 19:03:57","Bônus Mineração - Contrato de mineração #161796 - 0.300 CMP - 2018-10-23","0.549",""
"23/10/2018 18:59:34","Bônus Mineração - Contrato de mineração #199570 - 4.700 CMP - 2018-10-23","8.789",""
"23/10/2018 18:57:30","Bônus Mineração - Contrato de mineração #197274 - 6.300 CMP - 2018-10-23","11.781",""
"23/10/2018 18:57:11","Bônus Mineração - Contrato de mineração #196861 - 0.300 CMP - 2018-10-23","0.5610000000000001",""
"23/10/2018 18:55:25","Bônus Mineração - Contrato de mineração #195041 - 1.500 CMP - 2018-10-23","2.805",""
"23/10/2018 18:42:48","Bônus Mineração - Contrato de mineração #181659 - 0.100 CMP - 2018-10-23","0.187",""
"23/10/2018 18:35:38","Bônus Mineração - Contrato de mineração #174017 - 0.400 CMP - 2018-10-23","0.748",""
"23/10/2018 18:35:37","Bônus Mineração - Contrato de mineração #173977 - 0.300 CMP - 2018-10-23","0.5610000000000001",""
"23/10/2018 18:32:34","Bônus Mineração - Contrato de mineração #170476 - 0.300 CMP - 2018-10-23","0.5610000000000001",""
"23/10/2018 18:32:32","Bônus Mineração - Contrato de mineração #170446 - 0.500 CMP - 2018-10-23","0.9350000000000001",""
"23/10/2018 14:59:19","Bônus Mineração - Contrato de mineração #94150 - 1.200 CMP - 2018-10-23","2.148",""
"22/10/2018 18:45:55","Bônus Mineração - Contrato de mineração #199570 - 4.700 CMP - 2018-10-22","8.789",""
"22/10/2018 18:44:35","Bônus Mineração - Contrato de mineração #197274 - 6.300 CMP - 2018-10-22","11.781",""
"22/10/2018 18:44:21","Bônus Mineração - Contrato de mineração #196861 - 0.300 CMP - 2018-10-22","0.5610000000000001",""
"22/10/2018 18:43:17","Bônus Mineração - Contrato de mineração #195041 - 1.500 CMP - 2018-10-22","2.805",""
"22/10/2018 18:36:03","Bônus Mineração - Contrato de mineração #170075 - 1.500 CMP - 2018-10-22","2.73",""
"22/10/2018 18:33:40","Bônus Mineração - Contrato de mineração #181659 - 0.100 CMP - 2018-10-22","0.187",""
"22/10/2018 18:28:24","Bônus Mineração - Contrato de mineração #161823 - 0.700 CMP - 2018-10-22","1.274",""
"22/10/2018 18:28:23","Bônus Mineração - Contrato de mineração #161814 - 0.200 CMP - 2018-10-22","0.364",""
"22/10/2018 18:28:23","Bônus Mineração - Contrato de mineração #161811 - 0.200 CMP - 2018-10-22","0.364",""
"22/10/2018 18:28:23","Bônus Mineração - Contrato de mineração #161808 - 0.200 CMP - 2018-10-22","0.364",""
