"Data","Descrição","Valor",""
"31/10/2018 14:11:04","Bônus Mineração - Contrato de mineração #203462 - 0.010 CMP - 2018-10-31","0.018",""
"31/10/2018 14:11:03","Bônus Mineração - Contrato de mineração #203452 - 0.010 CMP - 2018-10-31","0.018",""
"31/10/2018 14:11:03","Bônus Mineração - Contrato de mineração #203450 - 0.010 CMP - 2018-10-31","0.018",""
"31/10/2018 14:08:14","Bônus Mineração - Contrato de mineração #199576 - 0.018 CMP - 2018-10-31","0.033",""
"31/10/2018 14:08:14","Bônus Mineração - Contrato de mineração #199571 - 0.047 CMP - 2018-10-31","0.08500000000000001",""
"31/10/2018 14:07:59","Bônus Mineração - Contrato de mineração #199167 - 0.029 CMP - 2018-10-31","0.052",""
"31/10/2018 14:06:44","Bônus Mineração - Contrato de mineração #197275 - 0.063 CMP - 2018-10-31","0.114",""
"31/10/2018 14:06:43","Bônus Mineração - Contrato de mineração #197249 - 0.063 CMP - 2018-10-31","0.114",""
"31/10/2018 14:05:12","Bônus Mineração - Contrato de mineração #195042 - 0.015 CMP - 2018-10-31","0.027",""
"31/10/2018 14:05:11","Bônus Mineração - Contrato de mineração #195017 - 0.015 CMP - 2018-10-31","0.027",""
"31/10/2018 14:05:10","Bônus Mineração - Contrato de mineração #194995 - 0.900 CMP - 2018-10-31","1.629",""
"31/10/2018 13:46:43","Bônus Mineração - Contrato de mineração #170452 - 0.100 CMP - 2018-10-31","0.181",""
"31/10/2018 12:02:55","Bônus Mineração - Contrato de mineração #170076 - 0.015 CMP - 2018-10-31","0.027",""
"31/10/2018 12:02:54","Bônus Mineração - Contrato de mineração #170028 - 0.015 CMP - 2018-10-31","0.027",""
"31/10/2018 12:02:37","Bônus Mineração - Contrato de mineração #161822 - 0.020 CMP - 2018-10-31","0.036",""
"31/10/2018 11:37:44","Bônus Mineração - Contrato de mineração #94151 - 0.012 CMP - 2018-10-31","0.022",""
"31/10/2018 11:37:31","Bônus Mineração - Contrato de mineração #93918 - 0.012 CMP - 2018-10-31","0.022",""
"31/10/2018 11:37:03","Bônus Mineração - Contrato de mineração #93280 - 0.100 CMP - 2018-10-31","0.182",""
"30/10/2018 20:52:04","Bônus Mineração - Contrato de mineração #203462 - 0.010 CMP - 2018-10-30","0.018",""
"30/10/2018 20:52:04","Bônus Mineração - Contrato de mineração #203452 - 0.010 CMP - 2018-10-30","0.018",""
"30/10/2018 20:52:04","Bônus Mineração - Contrato de mineração #203450 - 0.010 CMP - 2018-10-30","0.018",""
"30/10/2018 20:49:40","Bônus Mineração - Contrato de mineração #199576 - 0.018 CMP - 2018-10-30","0.033",""
"30/10/2018 20:49:40","Bônus Mineração - Contrato de mineração #199571 - 0.047 CMP - 2018-10-30","0.08599999999999999",""
"30/10/2018 20:49:26","Bônus Mineração - Contrato de mineração #199167 - 0.029 CMP - 2018-10-30","0.053",""
"30/10/2018 20:48:06","Bônus Mineração - Contrato de mineração #197275 - 0.063 CMP - 2018-10-30","0.115",""
"30/10/2018 20:48:05","Bônus Mineração - Contrato de mineração #197249 - 0.063 CMP - 2018-10-30","0.115",""
"30/10/2018 20:46:27","Bônus Mineração - Contrato de mineração #195042 - 0.015 CMP - 2018-10-30","0.027",""
"30/10/2018 20:46:26","Bônus Mineração - Contrato de mineração #195017 - 0.015 CMP - 2018-10-30","0.027",""
"30/10/2018 20:46:24","Bônus Mineração - Contrato de mineração #194995 - 0.900 CMP - 2018-10-30","1.638",""
"30/10/2018 20:31:14","Bônus Mineração - Contrato de mineração #170452 - 0.100 CMP - 2018-10-30","0.182",""
"30/10/2018 19:01:48","Bônus Mineração - Contrato de mineração #170076 - 0.015 CMP - 2018-10-29","0.027",""
"30/10/2018 19:01:47","Bônus Mineração - Contrato de mineração #170028 - 0.015 CMP - 2018-10-29","0.027",""
"30/10/2018 18:58:08","Bônus Mineração - Contrato de mineração #161822 - 0.020 CMP - 2018-10-29","0.036",""
"30/10/2018 15:47:16","Bônus Mineração - Contrato de mineração #170076 - 0.015 CMP - 2018-10-30","0.027",""
"30/10/2018 15:47:16","Bônus Mineração - Contrato de mineração #170028 - 0.015 CMP - 2018-10-30","0.027",""
"30/10/2018 15:47:00","Bônus Mineração - Contrato de mineração #161822 - 0.020 CMP - 2018-10-30","0.037",""
"30/10/2018 15:22:46","Bônus Mineração - Contrato de mineração #94151 - 0.012 CMP - 2018-10-30","0.022",""
"30/10/2018 15:22:37","Bônus Mineração - Contrato de mineração #93918 - 0.012 CMP - 2018-10-30","0.022",""
"30/10/2018 15:22:10","Bônus Mineração - Contrato de mineração #93280 - 0.100 CMP - 2018-10-30","0.183",""
"30/10/2018 02:05:17","Team Bonus 30/10/2018","16.8",""
"30/10/2018 01:01:13","Bônus Mineração - Contrato de mineração #203462 - 0.010 CMP - 2018-10-30","0.018",""
"30/10/2018 01:01:12","Bônus Mineração - Contrato de mineração #203452 - 0.010 CMP - 2018-10-30","0.018",""
"30/10/2018 01:01:12","Bônus Mineração - Contrato de mineração #203450 - 0.010 CMP - 2018-10-30","0.018",""
"30/10/2018 00:58:27","Bônus Mineração - Contrato de mineração #199576 - 0.018 CMP - 2018-10-30","0.033",""
"30/10/2018 00:58:27","Bônus Mineração - Contrato de mineração #199571 - 0.047 CMP - 2018-10-30","0.08500000000000001",""
"30/10/2018 00:58:10","Bônus Mineração - Contrato de mineração #199167 - 0.029 CMP - 2018-10-30","0.052",""
"30/10/2018 00:57:01","Bônus Mineração - Contrato de mineração #197275 - 0.063 CMP - 2018-10-30","0.114",""
"30/10/2018 00:57:00","Bônus Mineração - Contrato de mineração #197249 - 0.063 CMP - 2018-10-30","0.114",""
"30/10/2018 00:55:33","Bônus Mineração - Contrato de mineração #195042 - 0.015 CMP - 2018-10-30","0.027",""
"30/10/2018 00:55:32","Bônus Mineração - Contrato de mineração #195017 - 0.015 CMP - 2018-10-30","0.027",""
"30/10/2018 00:55:31","Bônus Mineração - Contrato de mineração #194995 - 0.900 CMP - 2018-10-30","1.629",""
"30/10/2018 00:39:01","Bônus Mineração - Contrato de mineração #170452 - 0.100 CMP - 2018-10-30","0.181",""
"29/10/2018 23:29:25","Bônus Mineração - Contrato de mineração #94151 - 0.012 CMP - 2018-10-29","0.022",""
"29/10/2018 23:28:57","Bônus Mineração - Contrato de mineração #93918 - 0.012 CMP - 2018-10-29","0.022",""
"29/10/2018 23:28:15","Bônus Mineração - Contrato de mineração #93280 - 0.100 CMP - 2018-10-29","0.181",""
"29/10/2018 11:07:14","Pagamento Pedido 6KATA3","40",""
"29/10/2018 02:23:28","Bônus Mineração - Contrato de mineração #203462 - 0.010 CMP - 2018-10-29","0.019",""
"29/10/2018 02:23:27","Bônus Mineração - Contrato de mineração #203452 - 0.010 CMP - 2018-10-29","0.019",""
"29/10/2018 02:23:27","Bônus Mineração - Contrato de mineração #203450 - 0.010 CMP - 2018-10-29","0.019",""
"29/10/2018 02:20:31","Bônus Mineração - Contrato de mineração #199576 - 0.018 CMP - 2018-10-29","0.033",""
"29/10/2018 02:20:30","Bônus Mineração - Contrato de mineração #199571 - 0.047 CMP - 2018-10-29","0.08699999999999999",""
"29/10/2018 02:20:16","Bônus Mineração - Contrato de mineração #199167 - 0.029 CMP - 2018-10-29","0.054",""
"29/10/2018 02:19:02","Bônus Mineração - Contrato de mineração #197275 - 0.063 CMP - 2018-10-29","0.117",""
"29/10/2018 02:19:01","Bônus Mineração - Contrato de mineração #197249 - 0.063 CMP - 2018-10-29","0.117",""
"29/10/2018 02:17:22","Bônus Mineração - Contrato de mineração #195042 - 0.015 CMP - 2018-10-29","0.028",""
"29/10/2018 02:17:21","Bônus Mineração - Contrato de mineração #195017 - 0.015 CMP - 2018-10-29","0.028",""
"29/10/2018 02:17:21","Bônus Mineração - Contrato de mineração #194995 - 0.900 CMP - 2018-10-29","1.674",""
"29/10/2018 01:55:40","Bônus Mineração - Contrato de mineração #170452 - 0.100 CMP - 2018-10-29","0.186",""
"28/10/2018 19:36:56","Bônus Mineração - Contrato de mineração #170076 - 0.015 CMP - 2018-10-28","0.027",""
"28/10/2018 19:36:56","Bônus Mineração - Contrato de mineração #170028 - 0.015 CMP - 2018-10-28","0.027",""
"28/10/2018 19:36:38","Bônus Mineração - Contrato de mineração #161822 - 0.020 CMP - 2018-10-28","0.036",""
"28/10/2018 19:18:52","Bônus Mineração - Contrato de mineração #94151 - 0.012 CMP - 2018-10-28","0.021",""
"28/10/2018 19:18:43","Bônus Mineração - Contrato de mineração #93918 - 0.012 CMP - 2018-10-28","0.021",""
"28/10/2018 19:18:18","Bônus Mineração - Contrato de mineração #93280 - 0.100 CMP - 2018-10-28","0.179",""
"28/10/2018 02:26:09","Bônus Mineração - Contrato de mineração #203462 - 0.010 CMP - 2018-10-28","0.019",""
"28/10/2018 02:26:09","Bônus Mineração - Contrato de mineração #203452 - 0.010 CMP - 2018-10-28","0.019",""
"28/10/2018 02:26:09","Bônus Mineração - Contrato de mineração #203450 - 0.010 CMP - 2018-10-28","0.019",""
"28/10/2018 02:23:35","Bônus Mineração - Contrato de mineração #199576 - 0.018 CMP - 2018-10-28","0.033",""
"28/10/2018 02:23:35","Bônus Mineração - Contrato de mineração #199571 - 0.047 CMP - 2018-10-28","0.08699999999999999",""
"28/10/2018 02:23:21","Bônus Mineração - Contrato de mineração #199167 - 0.029 CMP - 2018-10-28","0.054",""
"28/10/2018 02:22:15","Bônus Mineração - Contrato de mineração #197275 - 0.063 CMP - 2018-10-28","0.117",""
"28/10/2018 02:22:14","Bônus Mineração - Contrato de mineração #197249 - 0.063 CMP - 2018-10-28","0.117",""
"28/10/2018 02:20:52","Bônus Mineração - Contrato de mineração #195042 - 0.015 CMP - 2018-10-28","0.028",""
"28/10/2018 02:20:51","Bônus Mineração - Contrato de mineração #195017 - 0.015 CMP - 2018-10-28","0.028",""
"28/10/2018 02:20:50","Bônus Mineração - Contrato de mineração #194995 - 0.900 CMP - 2018-10-28","1.665",""
"28/10/2018 02:02:33","Bônus Mineração - Contrato de mineração #170452 - 0.100 CMP - 2018-10-28","0.185",""
"27/10/2018 19:22:18","Bônus Mineração - Contrato de mineração #170076 - 0.015 CMP - 2018-10-27","0.027",""
"27/10/2018 19:22:17","Bônus Mineração - Contrato de mineração #170028 - 0.015 CMP - 2018-10-27","0.027",""
"27/10/2018 19:22:04","Bônus Mineração - Contrato de mineração #161822 - 0.020 CMP - 2018-10-27","0.036",""
"27/10/2018 19:04:16","Bônus Mineração - Contrato de mineração #94151 - 0.012 CMP - 2018-10-27","0.022",""
"27/10/2018 19:04:06","Bônus Mineração - Contrato de mineração #93918 - 0.012 CMP - 2018-10-27","0.022",""
